AgentState_t	AgentState_x0	AgentState_u0	AgentState_v0	Cost	Debug_Cost
0	0.5	0	0 	 0.00110726	0	
0.1	0.595251	0.102847	0 	 0.00730821	4.28434e-05	
0.2	0.776779	0.2	0 	 0.00788879	1.55247e-05	
0.3	0.950597	0.2	0 	 0.00758574	2.52226e-06	
0.4	1.11891	0.2	0 	 0.00724045	9.80559e-06	
0.5	1.28276	0.2	0 	 0.00684181	4.84715e-05	
0.6	1.44277	0.2	0 	 0.00620121	0.00472561	
0.7	1.59941	0.2	0 	 0.00575637	0.00474083	
0.8	1.753	0.2	0 	 0.00533775	0.00331953	
0.9	1.90381	0.2	0 	 0.00514624	0.00110726	
1	2.05205	0.2	0 	 0.004867	0.00129849	
1.1	2.19792	0.2	0 	 0.00447917	0.00533057	
1.2	2.34156	0.2	0 	 0.00403794	0.00694174	
1.3	2.48311	0.2	0 	 0.0037542	0.00726809	
1.4	2.62268	0.2	0 	 0.00345152	0.00730821	
1.5	2.76038	0.2	0 	 0.00303051	0.00760695	
1.6	2.89629	0.2	0 	 0.00267556	0.00776819	
1.7	2.98985	0.159045	0 	 0.00215014	0.00801883	
1.8	3.03054	0.106837	0 	 0.00177051	0.00788879	
1.9	3.01769	0.0531649	0 	 0.00154921	0.00758574	
2	2.99115	0.038851	0 	 0.00149282	0.00724045	
2.1	2.98865	0.0623446	0 	 0.00154971	0.00684181	
2.2	3.00417	0.0801433	0 	 0.00158702	0.00637583	
2.3	3.00895	0.0692432	0 	 0.00155363	0.00614155	
2.4	3.00443	0.0596361	0 	 0.00153078	0.00620121	
2.5	2.99956	0.0588992	0 	 0.00152613	0.00575637	
2.6	2.99666	0.060496	0 	 0.00153281	0.00533775	
2.7	2.99824	0.0646661	0 	 0.00153057	0.00514624	
2.8	2.9998	0.0643719	0 	 0.00150084	0.004867	
2.9	3.00001	0.0627303	0 	 0.00151101	0.00447917	
3	2.99896	0.0611765	0 	 0.00149714	0.00403794	
3.1	2.99897	0.0619215	0 	 0.00148688	0.0037542	
3.2	3.00015	0.0628115	0 	 0.00146382	0.00345152	
3.3	3.00139	0.0626034	0 	 0.00145489	0.00303051	
3.4	3.00086	0.0605405	0 	 0.00145017	0.00267556	
3.5	3.00017	0.0600915	0 	 0.00142994	0.00215014	
3.6	3.00017	0.0604868	0 	 0.00143379	0.00177051	
3.7	3.00054	0.0605826	0 	 0.00141509	0.00154921	
3.8	3.00089	0.0602766	0 	 0.00140696	0.00149282	
3.9	3.00016	0.0589233	0 	 0.00138538	0.00154971	
4	2.99945	0.0586471	0 	 0.00137244	0.00158702	
4.1	2.99979	0.0594126	0 	 0.00137646	0.00155363	
4.2	3.00017	0.0591879	0 	 0.0013576	0.00153078	
4.3	3.00016	0.0585175	0 	 0.0013539	0.00152613	
4.4	3.00019	0.0582897	0 	 0.00134568	0.00153281	
4.5	2.99984	0.0576288	0 	 0.00134624	0.00153057	
4.6	3.00016	0.0580282	0 	 0.00132602	0.00150084	
4.7	3.00033	0.0576201	0 	 0.00131795	0.00151101	
4.8	3.00038	0.0572251	0 	 0.00130663	0.00149714	
4.9	3.00011	0.0566357	0 	 0.00129845	0.00148688	
5	2.99991	0.0564282	0 	 0.00128843	0.00146382	
5.1	2.99992	0.056372	0 	 0.0012802	0.00145489	
5.2	2.99994	0.0561188	0 	 0.00126139	0.00145017	
5.3	3	0.0558951	0 	 0.00124422	0.00142994	
5.4	3.00029	0.0558631	0 	 0.00123551	0.00143379	
5.5	3.0003	0.0553263	0 	 0.00122639	0.00141509	
5.6	3.00023	0.0549834	0 	 0.00121945	0.00140696	
5.7	3.00026	0.0548144	0 	 0.00120312	0.00138538	
5.8	3.00007	0.0543333	0 	 0.00119043	0.00137244	
5.9	2.99992	0.0541132	0 	 0.00116692	0.00137646	
6	3.00002	0.0540975	0 	 0.00115348	0.0013576	
6.1	3.0001	0.0538274	0 	 0.00115253	0.0013539	
6.2	3.00009	0.0534775	0 	 0.00114565	0.00134568	
6.3	2.99993	0.0530645	0 	 0.00112782	0.00134624	
6.4	3.00017	0.0532171	0 	 0.00112372	0.00132602	
6.5	3.00022	0.0527662	0 	 0.00111245	0.00131795	
6.6	3.00008	0.0523242	0 	 0.00110144	0.00130663	
6.7	2.99997	0.052092	0 	 0.00108371	0.00129845	
6.8	3.00004	0.0520239	0 	 0.0010665	0.00128843	
6.9	3.00009	0.0517463	0 	 0.00106321	0.0012802	
7	3.00007	0.0514151	0 	 0.00104621	0.00126139	
7.1	2.99997	0.0510977	0 	 0.00103174	0.00124422	
7.2	2.99999	0.0509548	0 	 0.00102079	0.00123551	
7.3	2.99999	0.0506836	0 	 0.00100165	0.00122639	
7.4	3.00002	0.0504586	0 	 0.000985738	0.00121945	
7.5	3.00006	0.0502246	0 	 0.000968269	0.00120312	
7.6	2.99997	0.049847	0 	 0.00094662	0.00119043	
7.7	3.00005	0.0497658	0 	 0.000922507	0.00116692	
7.8	3.00001	0.0493945	0 	 0.000898792	0.00115348	
7.9	2.99999	0.0491633	0 	 0.000866029	0.00115253	
8	2.99995	0.0488997	0 	 0.000820915	0.00114565	
8.1	3.00005	0.0487834	0 	 0.000768506	0.00112782	
8.2	3.0004	0.0488067	0 	 0.000706345	0.00112372	
8.3	2.99983	0.0476263	0 	 0.000638183	0.00111245	
8.4	3.00014	0.0482569	0 	 0.000587539	0.00110144	
8.5	3.00015	0.0477217	0 	 0.000528908	0.00108371	
8.6	2.99917	0.0464684	0 	 0.00045952	0.0010665	
8.7	2.99935	0.0473748	0 	 0.000409753	0.00106321	
8.8	2.99974	0.0473513	0 	 0.000345145	0.00104621	
8.9	3.00036	0.0473462	0 	 0.000293683	0.00103174	
9	2.99973	0.0458498	0 	 0.000246215	0.00102079	
9.1	2.99899	0.0454921	0 	 0.000211392	0.00100165	
9.2	3.002	0.0490123	0 	 0.0001825	0.000985738	
