AgentState_t	AgentState_x0	AgentState_u0	AgentState_v0	Cost	Debug_Cost
0	0.492215	0	0 	 11.6433	7.71552	
0.1	0.487254	0	0 	 9.68692	11.9453	
0.2	0.48403	0	0 	 9.59754	6.42739	
0.3	0.482399	0	0 	 7.48065	6.08518	
0.4	0.481821	0	0 	 9.28761	7.36256	
0.5	0.482308	0	0 	 9.20707	8.54138	
0.6	0.483819	0	0 	 9.09431	9.56149	
0.7	0.486303	0	0 	 7.54059	10.3701	
0.8	0.489589	0	0 	 7.21682	11.043	
0.9	0.493516	0	0 	 6.73125	11.6433	
1	0.498113	0	0 	 8.11789	12.9213	
1.1	0.503387	0	0 	 6.84731	9.86454	
1.2	0.509242	0	0 	 8.07346	8.37667	
1.3	0.515694	0	0 	 6.47989	7.98954	
1.4	0.522671	0	0 	 7.50644	8.03962	
1.5	0.530189	0	0 	 6.30985	8.61778	
1.6	0.538209	0	0 	 5.40121	8.8827	
1.7	0.546743	0	0 	 7.102	9.23098	
1.8	0.555739	0	0 	 5.60372	9.53055	
1.9	0.565208	0	0 	 7.60294	9.68692	
2	0.575157	0	0 	 6.53113	9.59754	
2.1	0.585586	0	0 	 6.30049	9.4382	
2.2	0.596496	0	0 	 6.73787	9.49575	
2.3	0.607883	0	0 	 6.03325	10.7581	
2.4	0.619742	0	0 	 5.9946	10.5503	
2.5	0.632003	0	0 	 5.88112	11.787	
2.6	0.64464	0	0 	 5.59043	6.60462	
2.7	0.657616	0	0 	 5.73936	5.40504	
2.8	0.670884	0	0 	 5.19744	6.03356	
2.9	0.684438	0	0 	 5.29186	6.93005	
3	0.698243	0	0 	 5.05383	7.48065	
3.1	0.712279	0	0 	 4.81059	8.03901	
3.2	0.726519	0	0 	 4.84759	8.49492	
3.3	0.740959	0	0 	 4.67086	8.80288	
3.4	0.755564	0	0 	 4.50903	9.12802	
3.5	0.770321	0	0 	 4.28532	9.28761	
3.6	0.785227	0	0 	 4.24507	9.20707	
3.7	0.80025	0	0 	 3.90532	9.09431	
3.8	0.815389	0	0 	 3.85688	10.7656	
3.9	0.830624	0	0 	 4.07979	10.1681	
4	0.84596	0	0 	 3.45341	6.06113	
4.1	0.861378	0	0 	 3.55364	5.17928	
4.2	0.876859	0	0 	 3.31109	5.7457	
4.3	0.892398	0	0 	 3.19322	6.36363	
4.4	0.907985	0	0 	 3.10583	6.73547	
4.5	0.923603	0	0 	 2.98619	7.20569	
4.6	0.939255	0	0 	 2.89152	7.40134	
4.7	0.954926	0	0 	 2.71023	7.54059	
4.8	0.970614	0	0 	 2.66773	8.84677	
4.9	0.986322	0	0 	 2.51994	8.53753	
5	1.00202	0	0 	 2.41287	10.6002	
5.1	1.01773	0	0 	 2.31372	9.13935	
5.2	1.03344	0	0 	 2.20827	12.5658	
5.3	1.04913	0	0 	 2.14346	6.57413	
5.4	1.06481	0	0 	 2.03359	5.60799	
5.5	1.08047	0	0 	 1.93945	6.15808	
