AgentState_t	AgentState_x0	AgentState_u0	AgentState_v0	Cost	Debug_Cost
0	0.52871	0.0327164	0 	 4.60309e-05	0.000439409	
0.1	0.714652	0.2	0 	 0.00620623	1.00494e-07	
0.2	0.890836	0.2	0 	 0.0066315	3.73003e-05	
0.3	0.864326	0	0 	 0.00194579	9.49111e-05	
0.4	1.03562	0.2	0 	 0.00587489	9.76946e-05	
0.5	1.20191	0.2	0 	 0.00593278	7.93784e-05	
0.6	1.36402	0.2	0 	 0.00594774	7.78606e-05	
0.7	1.37631	0.0520525	0 	 0.00174386	6.52443e-05	
0.8	1.34679	0.00968161	0 	 1.42649e-05	5.3508e-05	
0.9	1.5063	0.2	0 	 0.00172997	4.60309e-05	
1	1.66246	0.2	0 	 0.00184245	1.39484e-07	
1.1	1.66702	0.0498365	0 	 0.00151594	1.36698e-07	
1.2	1.82037	0.2	0 	 0.00384237	1.20169e-06	
1.3	1.83733	0.0650447	0 	 0.00209204	0.000486569	
1.4	1.98422	0.196308	0 	 0.00477257	0.0015275	
1.5	2.04534	0.112237	0 	 0.00299607	0.00277446	
1.6	2.19257	0.2	0 	 0.00343969	0.00540082	
1.7	2.21138	0.0727843	0 	 0.00276385	0.00613534	
1.8	2.35626	0.2	0 	 0.0025918	0.00644414	
1.9	2.49895	0.2	0 	 0.00252273	0.00620623	
2	2.63959	0.2	0 	 0.00239627	0.0066315	
2.1	2.77827	0.2	0 	 0.00241116	0.00658494	
2.2	2.91512	0.2	0 	 0.00202944	0.00709905	
2.3	3.04165	0.191372	0 	 0.00178715	6.14519e-08	
2.4	2.97691	0.00023294	0 	 0.00105116	1.10393e-08	
2.5	3.01079	0.0983076	0 	 0.00116744	1.99898e-09	
2.6	3.01462	0.0682181	0 	 0.00106167	1.99152e-09	
2.7	2.9608	0.00986218	0 	 0.00106256	1.07055e-06	
2.8	3.0317	0.134424	0 	 0.00140623	0.000361741	
2.9	3.00579	0.0376322	0 	 0.00111334	0.000311434	
3	3.01437	0.0716874	0 	 0.00119627	0.00194579	
3.1	2.99924	0.0476202	0 	 0.00110376	0.00232679	
3.2	3.04709	0.110563	0 	 0.00129302	0.0021339	
3.3	2.99758	0.0128802	0 	 0.00103077	0.00175542	
3.4	3.00414	0.0683175	0 	 0.00109911	0.00331151	
3.5	3.04776	0.105483	0 	 0.00120713	0.00587489	
3.6	2.99326	0.00697427	0 	 0.00108488	0.00593278	
3.7	3.02746	0.0952353	0 	 0.00115371	0.00594774	
3.8	3.00505	0.0384173	0 	 0.0010019	3.00205e-07	
3.9	3.05598	0.111714	0 	 0.0012371	4.9822e-08	
4	3.03365	0.0383948	0 	 0.000912409	3.25031e-05	
4.1	3.00159	0.0279258	0 	 0.000976434	0.000103179	
4.2	3.01792	0.0759181	0 	 0.00113624	0.000206757	
4.3	3.01305	0.0545293	0 	 0.00105301	0.000213403	
4.4	2.98056	0.0263179	0 	 0.00105157	0.00442598	
4.5	3.01574	0.0937484	0 	 0.00114615	0.00468913	
4.6	2.98621	0.0287931	0 	 0.000989027	0.00333052	
4.7	3.00469	0.07644	0 	 0.00108602	0.00174386	
