AgentState_t	AgentState_x0	AgentState_u0	AgentState_v0	Cost	Debug_Cost
0	0.503845	0	0 	 0	0	
0.1	0.512357	0	0 	 0	0	
0.2	0.523068	0	0 	 0	0	
0.3	0.535467	0	0 	 0	0	
0.4	0.549263	0	0 	 0	0	
0.5	0.564266	0	0 	 0	0	
0.6	0.580336	0	0 	 0	0	
0.7	0.597366	0	0 	 0	0	
0.8	0.61527	0	0 	 0	0	
0.9	0.633979	0	0 	 0	0	
1	0.653434	0	0 	 0	0	
1.1	0.673584	0	0 	 0	0	
1.2	0.694386	0	0 	 0	0	
1.3	0.715802	0	0 	 0	0	
1.4	0.737797	0	0 	 0	0	
1.5	0.760343	0	0 	 0	0	
1.6	0.783073	0	0 	 0	0	
1.7	0.805464	0	0 	 0	0	
1.8	0.827493	0	0 	 0	0	
1.9	0.848974	0	0 	 0	0	
2	0.870086	0	0 	 0	0	
2.1	0.891079	0	0 	 0	0	
2.2	0.911783	0	0 	 0	0	
2.3	0.932073	0	0 	 0	0	
2.4	0.95199	0	0 	 0	0	
2.5	0.971586	0	0 	 0	0	
2.6	0.991004	0	0 	 0	0	
2.7	1.01024	0	0 	 0	0	
2.8	1.02925	0	0 	 0	0	
2.9	1.04789	0	0 	 0	0	
3	1.06625	0	0 	 0	0	
3.1	1.08465	0	0 	 0	0	
3.2	1.10272	0	0 	 0	0	
3.3	1.12054	0	0 	 0	0	
3.4	1.13816	0	0 	 0	0	
3.5	1.15569	0	0 	 0	0	
3.6	1.17304	0	0 	 0	0	
3.7	1.19015	0	0 	 0	0	
3.8	1.20701	0	0 	 0	0	
3.9	1.2238	0	0 	 0	0	
4	1.24071	0	0 	 0	0	
4.1	1.25728	0	0 	 0	0	
4.2	1.27359	0	0 	 0	0	
4.3	1.28973	0	0 	 0	0	
4.4	1.3058	0	0 	 0	0	
4.5	1.32175	0	0 	 0	0	
4.6	1.33745	0	0 	 0	0	
4.7	1.35305	0	0 	 0	0	
4.8	1.36852	0	0 	 0	0	
4.9	1.38395	0	0 	 0	0	
5	1.39921	0	0 	 0	0	
5.1	1.41419	0	0 	 0	0	
5.2	1.42918	0	0 	 0	0	
5.3	1.44418	0	0 	 0	0	
5.4	1.45898	0	0 	 0	0	
5.5	1.47361	0	0 	 0	0	
5.6	1.48809	0	0 	 0	0	
5.7	1.50243	0	0 	 0	0	
5.8	1.51663	0	0 	 0	0	
5.9	1.5307	0	0 	 0	0	
6	1.54469	0	0 	 0	0	
6.1	1.55864	0	0 	 0	0	
6.2	1.57253	0	0 	 0	0	
6.3	1.58638	0	0 	 0	0	
6.4	1.60013	0	0 	 0	0	
6.5	1.61379	0	0 	 0	0	
6.6	1.62734	0	0 	 0	0	
6.7	1.64075	0	0 	 0	0	
6.8	1.65403	0	0 	 0	0	
6.9	1.66722	0	0 	 0	0	
7	1.68033	0	0 	 0	0	
7.1	1.69336	0	0 	 0	0	
7.2	1.7063	0	0 	 0	0	
7.3	1.71916	0	0 	 0	0	
7.4	1.73193	0	0 	 0	0	
7.5	1.74458	0	0 	 0	0	
7.6	1.75711	0	0 	 0	0	
7.7	1.76957	0	0 	 0	0	
7.8	1.78193	0	0 	 0	0	
7.9	1.79418	0	0 	 0	0	
