#                                       Agent1                                       Agent2                                       Agent3                                       Agent4
#      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc
       0.685433       0.151735        1.02197       0.859399       0.183434       0.966771       0.859399       0.183434       0.966771       0.695455        0.14807       0.925259
       0.899298       0.113726       0.804024       0.807789       0.202497       0.765896       0.807789       0.202497       0.765896       0.422888       0.226695       0.737041
        1.35689        3.19694       0.632559       0.745681        1.87521       0.606758       0.745681        1.87521       0.606758       0.646267         1.2613       0.587111
       0.663072       0.349745        0.49766       0.553743       0.221587       0.480686       0.553743       0.221587       0.480686       0.536483       0.166113        0.46768
       0.506406       0.180191       0.391529       0.468088       0.127731       0.380809       0.468088       0.127731       0.380809       0.462568       0.110871       0.372544
       0.612364       0.124933       0.308032       0.459925      0.0975495       0.301685       0.459925      0.0975495       0.301685       0.431097      0.0930901        0.29676
       0.919448       0.330316       0.242341         0.4168       0.261591       0.239001         0.4168       0.261591       0.239001       0.318484       0.250004       0.236393
       0.645899       0.697444        0.19066       0.330527       0.311872       0.189341       0.330527       0.311872       0.189341       0.218937       0.145219       0.188305
       0.397723       0.387415           0.15       0.257243       0.202777           0.15       0.257243       0.202777           0.15       0.177007      0.0964038           0.15
       0.274487       0.221885           0.15       0.199901       0.135158           0.15       0.199901       0.135158           0.15       0.142127      0.0786866           0.15
       0.237417       0.114111           0.15       0.166857      0.0925426           0.15       0.166857      0.0925426           0.15        0.10365      0.0759199           0.15
       0.113796        0.14209           0.15      0.0895324        0.10136           0.15      0.0895324        0.10136           0.15      0.0651083      0.0693662           0.15
       0.746338        1.31782        1.31782       0.886472        1.23304        1.23304       0.886472        1.23304        1.23304       0.702996        1.15102        1.15102
       0.172842       0.575145       0.917408       0.212595       0.668735       0.867954       0.212595       0.668735       0.867954       0.202632       0.441785       0.819569
       0.287608       0.236539       0.638658        0.18806       0.329138       0.610964        0.18806       0.329138       0.610964       0.143457       0.353056       0.583562
       0.304426       0.152228       0.444605       0.242172       0.159913       0.430065       0.242172       0.159913       0.430065       0.182594      0.0972504       0.415516
       0.146751      0.0805133       0.309514      0.0970048      0.0899911       0.302729      0.0970048      0.0899911       0.302729       0.191413      0.0483723       0.295862
      0.0587875      0.0371202       0.215469       0.070926      0.0804085       0.213095       0.070926      0.0804085       0.213095      0.0992035       0.063611       0.210664
       0.112263      0.0493468           0.15      0.0863453      0.0377638           0.15      0.0863453      0.0377638           0.15      0.0843662      0.0453295           0.15
      0.0975201      0.0295759           0.15      0.0907196      0.0228411           0.15      0.0907196      0.0228411           0.15      0.0591343       0.030134           0.15
       0.086426      0.0257685           0.15       0.076655      0.0204248           0.15       0.076655      0.0204248           0.15      0.0865312      0.0182972           0.15
      0.0468281       0.054223           0.15      0.0576433      0.0446821           0.15      0.0576433      0.0446821           0.15      0.0942766      0.0363222           0.15
      0.0455263      0.0577283           0.15      0.0492337      0.0478751           0.15      0.0492337      0.0478751           0.15      0.0909923      0.0334819           0.15
      0.0486258      0.0240575           0.15      0.0479499      0.0205207           0.15      0.0479499      0.0205207           0.15      0.0705169      0.0186677           0.15
      0.0334607      0.0228642           0.15      0.0400737      0.0200347           0.15      0.0400737      0.0200347           0.15      0.0848299      0.0163465           0.15
       0.034253      0.0237376           0.15      0.0461693      0.0376828           0.15      0.0461693      0.0376828           0.15      0.0632747      0.0380097           0.15
      0.0703596      0.0453829           0.15      0.0628877       0.033695           0.15      0.0628877       0.033695           0.15       0.060855      0.0269083           0.15
      0.0388427      0.0490156           0.15      0.0497901      0.0560578           0.15      0.0497901      0.0560578           0.15      0.0720348       0.043622           0.15
      0.0523796      0.0306538           0.15      0.0490419      0.0319246           0.15      0.0490419      0.0319246           0.15      0.0491254      0.0342545           0.15
      0.0298377      0.0411798           0.15      0.0411028      0.0431641           0.15      0.0411028      0.0431641           0.15      0.0577607      0.0365745           0.15
      0.0207237      0.0489514           0.15      0.0412646       0.108131           0.15      0.0412646       0.108131           0.15      0.0630774       0.112414           0.15
      0.0763289       0.146868           0.15       0.168197       0.383514           0.15       0.168197       0.383514           0.15        0.26931       0.439175           0.15
       0.714979        1.50346           0.15       0.457158         1.3813           0.15       0.457158         1.3813           0.15       0.408478        1.32043           0.15
       0.292052       0.416409           0.15       0.367236       0.213451           0.15       0.367236       0.213451           0.15       0.384692       0.158524           0.15
       0.203062       0.180742           0.15       0.322217       0.123084           0.15       0.322217       0.123084           0.15       0.355881       0.104686           0.15
       0.310916       0.134938           0.15        0.31065       0.112983           0.15        0.31065       0.112983           0.15       0.313682       0.105886           0.15
       0.384812       0.256994           0.15       0.268904       0.174849           0.15       0.268904       0.174849           0.15       0.231045       0.152369           0.15
       0.265552       0.206212           0.15       0.214432      0.0805353           0.15       0.214432      0.0805353           0.15       0.192515      0.0448155           0.15
       0.215648       0.159581           0.15       0.185896      0.0690963           0.15       0.185896      0.0690963           0.15       0.167891      0.0456677           0.15
       0.230004       0.132351           0.15       0.171025      0.0786765           0.15       0.171025      0.0786765           0.15       0.134151      0.0621243           0.15
       0.183872       0.155838           0.15       0.138621      0.0841333           0.15       0.138621      0.0841333           0.15       0.108584      0.0546782           0.15
       0.115464       0.128989           0.15      0.0984682      0.0630139           0.15      0.0984682      0.0630139           0.15      0.0847257      0.0368924           0.15
       0.903803        1.28577        1.28577       0.904424        1.22296        1.22296       0.904424        1.22296        1.22296        0.50796        1.16941        1.16941
       0.721669        0.15403       0.898777       0.907046       0.184219       0.862037       0.907046       0.184219       0.862037       0.662793       0.141179       0.830467
        1.19779        1.44609        0.62826       0.758162        1.37124        0.60763       0.758162        1.37124        0.60763       0.660823        1.27888       0.589761
       0.426679       0.324224       0.439165       0.536718       0.197561       0.428304       0.536718       0.197561       0.428304       0.573172       0.140062       0.418822
       0.291445       0.412777       0.306984        0.40701        0.21225       0.301901        0.40701        0.21225       0.301901       0.465121       0.117793       0.297429
       0.367838        0.42488       0.214587       0.355702        0.25936       0.212803       0.355702        0.25936       0.212803       0.365519       0.185056       0.211221
       0.353659       0.346277           0.15       0.315336       0.164305           0.15       0.315336       0.164305           0.15       0.310158        0.10574           0.15
       0.151606       0.401106           0.15       0.216521        0.16484           0.15       0.216521        0.16484           0.15       0.264427      0.0859732           0.15
       0.195639       0.233278           0.15       0.197097       0.122856           0.15       0.197097       0.122856           0.15       0.203637      0.0755702           0.15
