AgentState_t	AgentState_x0	AgentState_u0	AgentState_v0	Cost	Debug_Cost
0	0.498893	0	0 	 0	0	
0.1	0.500492	0	0 	 0	0	
0.2	0.506748	0	0 	 0	0	
0.3	0.516035	0	0 	 0	0	
0.4	0.527357	0	0 	 0	0	
0.5	0.540278	0	0 	 0	0	
0.6	0.554541	0	0 	 0	0	
0.7	0.569966	0	0 	 0	0	
0.8	0.586425	0	0 	 0	0	
0.9	0.603816	0	0 	 0	0	
1	0.622058	0	0 	 0	0	
1.1	0.641084	0	0 	 0	0	
1.2	0.660838	0	0 	 0	0	
1.3	0.681272	0	0 	 0	0	
1.4	0.702344	0	0 	 0	0	
1.5	0.724017	0	0 	 0	0	
1.6	0.746259	0	0 	 0	0	
1.7	0.768889	0	0 	 0	0	
1.8	0.791558	0	0 	 0	0	
1.9	0.813892	0	0 	 0	0	
2	0.835676	0	0 	 0	0	
2.1	0.856979	0	0 	 0	0	
2.2	0.877982	0	0 	 0	0	
2.3	0.898729	0	0 	 0	0	
2.4	0.919162	0	0 	 0	0	
2.5	0.93926	0	0 	 0	0	
2.6	0.959045	0	0 	 0	0	
2.7	0.978557	0	0 	 0	0	
2.8	0.997824	0	0 	 0	0	
2.9	1.01685	0	0 	 0	0	
3	1.03564	0	0 	 0	0	
3.1	1.0542	0	0 	 0	0	
3.2	1.07255	0	0 	 0	0	
3.3	1.09069	0	0 	 0	0	
3.4	1.10864	0	0 	 0	0	
3.5	1.12639	0	0 	 0	0	
3.6	1.14395	0	0 	 0	0	
3.7	1.16133	0	0 	 0	0	
3.8	1.17854	0	0 	 0	0	
3.9	1.19557	0	0 	 0	0	
4	1.21243	0	0 	 0	0	
4.1	1.22913	0	0 	 0	0	
4.2	1.24568	0	0 	 0	0	
4.3	1.26208	0	0 	 0	0	
4.4	1.27832	0	0 	 0	0	
4.5	1.29443	0	0 	 0	0	
4.6	1.31039	0	0 	 0	0	
4.7	1.32622	0	0 	 0	0	
4.8	1.34191	0	0 	 0	0	
4.9	1.35747	0	0 	 0	0	
5	1.3729	0	0 	 0	0	
5.1	1.38821	0	0 	 0	0	
5.2	1.40339	0	0 	 0	0	
5.3	1.41845	0	0 	 0	0	
5.4	1.43339	0	0 	 0	0	
5.5	1.44822	0	0 	 0	0	
5.6	1.46293	0	0 	 0	0	
5.7	1.47753	0	0 	 0	0	
5.8	1.49202	0	0 	 0	0	
5.9	1.5064	0	0 	 0	0	
6	1.52067	0	0 	 0	0	
6.1	1.53484	0	0 	 0	0	
6.2	1.5489	0	0 	 0	0	
6.3	1.56285	0	0 	 0	0	
6.4	1.57671	0	0 	 0	0	
6.5	1.59047	0	0 	 0	0	
6.6	1.60412	0	0 	 0	0	
6.7	1.61768	0	0 	 0	0	
6.8	1.63114	0	0 	 0	0	
6.9	1.64451	0	0 	 0	0	
7	1.65778	0	0 	 0	0	
7.1	1.67096	0	0 	 0	0	
7.2	1.68404	0	0 	 0	0	
7.3	1.69703	0	0 	 0	0	
7.4	1.70993	0	0 	 0	0	
7.5	1.72274	0	0 	 0	0	
7.6	1.73546	0	0 	 0	0	
7.7	1.74809	0	0 	 0	0	
7.8	1.76063	0	0 	 0	0	
7.9	1.77309	0	0 	 0	0	
8	1.78545	0	0 	 0	0	
8.1	1.79774	0	0 	 0	0	
8.2	1.80993	0	0 	 0	0	
8.3	1.82204	0	0 	 0	0	
8.4	1.83407	0	0 	 0	0	
8.5	1.84601	0	0 	 0	0	
8.6	1.85786	0	0 	 0	0	
8.7	1.86963	0	0 	 0	0	
8.8	1.88132	0	0 	 0	0	
8.9	1.89292	0	0 	 0	0	
9	1.90445	0	0 	 0	0	
9.1	1.91589	0	0 	 0	0	
9.2	1.92726	0	0 	 0	0	
9.3	1.93858	0	0 	 0	0	
9.4	1.94978	0	0 	 0	0	
9.5	1.96083	0	0 	 0	0	
9.6	1.97172	0	0 	 0	0	
9.7	1.98234	0	0 	 0	0	
9.8	1.99253	0	0 	 0	0	
9.9	2.00218	0	0 	 0	0	
10	2.01131	0	0 	 0	0	
10.1	2.01992	0	0 	 0	0	
10.2	2.02801	0	0 	 0	0	
10.3	2.03561	0	0 	 0	0	
10.4	2.04272	0	0 	 0	0	
10.5	2.04936	0	0 	 0	0	
10.6	2.05552	0	0 	 0	0	
10.7	2.06123	0	0 	 0	0	
10.8	2.0665	0	0 	 0	0	
10.9	2.07133	0	0 	 0	0	
11	2.07573	0	0 	 0	0	
11.1	2.07971	0	0 	 0	0	
11.2	2.08328	0	0 	 0	0	
11.3	2.08646	0	0 	 0	0	
11.4	2.08924	0	0 	 0	0	
